Column1,Comp_0,Comp_1
3rd_Ventricle,,
4th_Ventricle,0.6750357422979754,0.3249642577020247
Brain_Stem,,
CC_Anterior,,
CC_Central,0.9249184319198325,0.0750815680801675
CC_Mid_Anterior,,
CC_Mid_Posterior,0.1006447327165651,0.8993552672834348
CC_Posterior,0.08714499724667255,0.9128550027533274
CSF,,
Left_Accumbens_area,0.6950683253385876,0.3049316746614123
Left_Amygdala,0.6670807355454526,0.3329192644545474
Left_Caudate,0.37575953873767154,0.6242404612623283
Left_Cerebellum_Cortex,0.8436579966190599,0.15634200338094015
Left_Cerebellum_White_Matter,,
Left_Cerebral_White_Matter,0.7691934617437554,0.23080653825624475
Left_Hippocampus,0.6552321653949847,0.34476783460501537
Left_Inf_Lat_Vent,0.7879853846314998,0.21201461536850025
Left_Lateral_Ventricle,0.3810036605588514,0.6189963394411485
Left_Pallidum,0.6932503594358879,0.3067496405641122
Left_Putamen,0.672191352941285,0.3278086470587151
Left_Thalamus_Proper,0.6386938822713786,0.3613061177286215
Left_VentralDC,0.6233557465727373,0.3766442534272626
Left_choroid_plexus,0.8294127603491873,0.17058723965081266
Left_vessel,0.6597492427793004,0.3402507572206996
Optic_Chiasm,,
Right_Accumbens_area,0.6903824029020371,0.309617597097963
Right_Amygdala,0.6631514261341477,0.33684857386585226
Right_Caudate,0.6829731952681752,0.3170268047318248
Right_Cerebellum_Cortex,0.6998108389639471,0.3001891610360529
Right_Cerebellum_White_Matter,,
Right_Cerebral_White_Matter,0.7784102776530276,0.22158972234697236
Right_Hippocampus,0.7327560927704717,0.2672439072295283
Right_Inf_Lat_Vent,0.7608573329732337,0.2391426670267664
Right_Lateral_Ventricle,0.4080720859872279,0.5919279140127722
Right_Pallidum,0.6682978468162024,0.3317021531837976
Right_Putamen,0.7795917577139417,0.22040824228605838
Right_Thalamus_Proper,0.6075352554044983,0.3924647445955017
Right_VentralDC,0.5739120574343639,0.42608794256563626
Right_choroid_plexus,0.8228634598078954,0.17713654019210462
Right_vessel,0.6560382900241201,0.34396170997588
Unknown,0.6042534568152524,0.3957465431847475
WM_hypointensities,,
ctx_lh_bankssts,0.7547898617519595,0.24521013824804044
ctx_lh_caudalanteriorcingulate,0.8716359468336741,0.128364053166326
ctx_lh_caudalmiddlefrontal,0.7927366734760896,0.20726332652391044
ctx_lh_cuneus,0.8372377418638935,0.16276225813610634
ctx_lh_entorhinal,0.5778976305609703,0.42210236943902957
ctx_lh_frontalpole,0.9035789173521773,0.09642108264782262
ctx_lh_fusiform,0.7224060703112745,0.27759392968872565
ctx_lh_inferiorparietal,0.743432130196305,0.25656786980369495
ctx_lh_inferiortemporal,0.7123491969040334,0.2876508030959667
ctx_lh_insula,0.8109535580225129,0.1890464419774872
ctx_lh_isthmuscingulate,0.7677120052602145,0.23228799473978548
ctx_lh_lateraloccipital,0.802947237255461,0.1970527627445389
ctx_lh_lateralorbitofrontal,0.8556990878343002,0.14430091216569993
ctx_lh_lingual,0.8253228926278566,0.17467710737214345
ctx_lh_medialorbitofrontal,0.8605887159564346,0.1394112840435653
ctx_lh_middletemporal,0.7080799332732444,0.2919200667267556
ctx_lh_paracentral,0.8927134003503757,0.1072865996496243
ctx_lh_parahippocampal,0.6691342368312496,0.3308657631687503
ctx_lh_parsopercularis,0.832995078853542,0.16700492114645815
ctx_lh_parsorbitalis,0.8915966310714775,0.10840336892852255
ctx_lh_parstriangularis,0.8672142776375127,0.13278572236248729
ctx_lh_pericalcarine,0.9234503662321374,0.07654963376786268
ctx_lh_postcentral,0.8827971816738759,0.11720281832612421
ctx_lh_posteriorcingulate,0.7845026648229416,0.21549733517705838
ctx_lh_precentral,0.8298777597633754,0.17012224023662456
ctx_lh_precuneus,0.7809438391328493,0.21905616086715082
ctx_lh_rostralanteriorcingulate,0.8870009718677763,0.1129990281322238
ctx_lh_rostralmiddlefrontal,0.8209202370747029,0.179079762925297
ctx_lh_superiorfrontal,0.7987717988417204,0.2012282011582796
ctx_lh_superiorparietal,0.7976551762146107,0.20234482378538945
ctx_lh_superiortemporal,0.7699831186550851,0.23001688134491485
ctx_lh_supramarginal,0.7581402460249346,0.24185975397506548
ctx_lh_temporalpole,0.7187176109091539,0.28128238909084613
ctx_lh_transversetemporal,0.8831757735210044,0.11682422647899549
ctx_lh_unknown,0.6599619688647269,0.34003803113527314
ctx_rh_bankssts,0.7684817699932294,0.2315182300067707
ctx_rh_caudalanteriorcingulate,0.8608084632435615,0.13919153675643833
ctx_rh_caudalmiddlefrontal,0.8088034864622758,0.19119651353772404
ctx_rh_cuneus,0.8586401395955237,0.1413598604044764
ctx_rh_entorhinal,0.6028812133478795,0.3971187866521206
ctx_rh_frontalpole,0.9030557089832224,0.0969442910167776
ctx_rh_fusiform,0.7032195277245494,0.29678047227545057
ctx_rh_inferiorparietal,0.7593910397363994,0.2406089602636005
ctx_rh_inferiortemporal,0.707338615124852,0.29266138487514815
ctx_rh_insula,0.8188662047357108,0.1811337952642892
ctx_rh_isthmuscingulate,0.7712817519117746,0.22871824808822538
ctx_rh_lateraloccipital,0.8141277935362431,0.18587220646375685
ctx_rh_lateralorbitofrontal,0.8389351849491716,0.16106481505082845
ctx_rh_lingual,0.8524843880254396,0.1475156119745604
ctx_rh_medialorbitofrontal,0.827166595150399,0.172833404849601
ctx_rh_middletemporal,0.7309298636578799,0.26907013634212
ctx_rh_paracentral,0.8920919187556473,0.10790808124435276
ctx_rh_parahippocampal,0.6645908672021388,0.33540913279786116
ctx_rh_parsopercularis,0.8326116469699759,0.16738835303002422
ctx_rh_parsorbitalis,0.9012604641871562,0.09873953581284382
ctx_rh_parstriangularis,0.8675823751013862,0.13241762489861372
ctx_rh_pericalcarine,0.9069435868857303,0.09305641311426983
ctx_rh_postcentral,0.8846930516345066,0.1153069483654933
ctx_rh_posteriorcingulate,0.7925972766388111,0.2074027233611889
ctx_rh_precentral,0.8371011646674956,0.16289883533250443
ctx_rh_precuneus,0.7786241179813057,0.2213758820186943
ctx_rh_rostralanteriorcingulate,0.9074765194733843,0.09252348052661578
ctx_rh_rostralmiddlefrontal,0.8463698405726959,0.15363015942730407
ctx_rh_superiorfrontal,0.8275993655620121,0.17240063443798795
ctx_rh_superiorparietal,0.8163433199872624,0.18365668001273763
ctx_rh_superiortemporal,0.7818594650397005,0.21814053496029948
ctx_rh_supramarginal,0.8016657250717455,0.19833427492825464
ctx_rh_temporalpole,0.7472360553782732,0.25276394462172685
ctx_rh_transversetemporal,0.9029161880125435,0.09708381198745651
ctx_rh_unknown,0.6425027691547266,0.35749723084527346
